addressLine1,lastSalePrice,time_id,location_id,description_id
501 Lincoln Dr,420000.0,146,203,191
8822 Wawana Rd,4800.0,147,204,192
9872 Clark St,225000.0,148,111,193
43 Ridge Rd,0.0,1,205,1
102 W Chestnut St,0.0,1,206,194
224 Rio Grande Ln,398000.0,149,207,195
7 Hartford Ct,188650.0,150,208,196
4498 Highway,0.0,1,209,1
596 Tincher Hill Rd,0.0,1,210,197
122 Willow Pond Ln,187000.0,151,211,198
10 Chatfields Ln,1345563.0,152,212,199
PO Box 23058,0.0,1,213,1
340 Roosevelt Way,785000.0,153,214,200
29841 Barkley St,280000.0,154,215,201
1002 Linden St,0.0,155,90,202
6239 Saltsburg Rd,0.0,1,165,1
2901 N Lakewood Ave Unit E,0.0,1,23,203
159 Trantham Trl,420000.0,156,216,204
400 Burney St,0.0,1,217,1
7816 153rd Ave Apt E,158500.0,157,218,205
325 S Biscayne Blvd,0.0,1,219,206
325 S Biscayne Blvd,0.0,1,245,206
1805 Caffin Ave,35000.0,158,220,207
1805 Caffin Ave,35000.0,158,248,207
2909 E Chaparral St,196500.0,159,221,208
12155 Mesa Verde Trl,97500.0,160,222,209
1904 Winchester Ln,318000.0,161,223,210
14 Basket Ln,0.0,1,224,211
8800 Hunting Ln,0.0,1,225,212
30 Redfield Cir,0.0,1,226,213
3006 Sw 23rd St,0.0,1,46,1
3006 Sw 23rd St,0.0,1,178,1
8288 Kifer Dr,0.0,1,227,214
4047 Emory Rd,0.0,162,228,215
601 W 111th St,30000.0,163,23,1
65 Norris Ln NE,338000.0,164,229,82
111 Marquette Ave,0.0,1,230,1
1511 2nd Ave,0.0,1,231,216
1817 Jessamine Ave,0.0,1,147,1
1744 149th St,1370000.0,165,232,217
40201 San Sebastian Pl,937000.0,166,233,218
25455 Lindenwood Ln,0.0,1,234,219
11541 Brook Crossing Ln,98000.0,167,18,220
11541 Brook Crossing Ln,98000.0,167,235,220
200 E 74th St,0.0,168,49,221
333 Chester St,0.0,1,236,1
609A Luther Dr,0.0,1,237,1
16270 Dowing Creek Dr,340000.0,169,222,222
