description_id,propertyType,bathrooms,bedrooms,yearBuilt,squareFootage,lotSize
184,Single Family,2.5,3.0,2010,1854.0,23087.0
185,Single Family,2.0,4.0,1990,2276.0,6098.0
186,Single Family,1.0,0.0,0,684.0,0.0
187,Single Family,0.0,0.0,0,0.0,8316.0
188,Single Family,2.0,3.0,1973,1580.0,84245.0
189,Single Family,1.0,3.0,1960,1400.0,10890.0
190,Apartment,1.0,2.0,0,922.0,0.0
191,Single Family,2.0,0.0,1985,1308.0,9176.0
192,Single Family,2.0,3.0,1998,1728.0,7405.0
193,Land,0.0,0.0,0,0.0,435600.0
194,Single Family,1.0,2.0,1978,952.0,10019.0
195,Single Family,2.5,4.0,2005,2673.0,7449.0
196,Single Family,2.0,4.0,1932,2184.0,12632.0
197,Single Family,1.5,3.0,1988,1520.0,2000.0
198,Single Family,2.0,3.0,1989,1316.0,19602.0
199,Single Family,1.0,4.0,1940,1673.0,50530.0
200,Single Family,2.0,3.0,1979,1748.0,12632.0
201,Single Family,1.5,3.0,1991,1192.0,3485.0
202,Single Family,1.5,2.0,1993,980.0,831.0
203,Single Family,1.0,2.0,1953,896.0,5580.0
204,Manufactured,2.0,3.0,1995,1512.0,0.0
205,Land,0.0,0.0,0,0.0,6531.0
206,Single Family,2.5,4.0,1966,2680.0,11172.0
207,Single Family,2.5,3.0,2019,1796.0,1133.0
208,Single Family,3.5,2.0,2012,2107.0,0.0
209,Condo,2.5,3.0,1977,2044.0,3000.0
210,Single Family,2.5,4.0,2005,3521.0,7187.0
211,Single Family,1.0,3.0,1863,1992.0,9300.0
212,Single Family,2.5,4.0,2019,2513.0,8147.0
213,Land,2.0,5.0,1900,1512.0,3630.0
214,Single Family,4.5,5.0,2016,3450.0,0.0
215,Multi-Family,0.0,0.0,1920,2967.0,1781.0
216,Apartment,2.0,2.0,0,1000.0,0.0
217,Single Family,2.0,3.0,2014,1884.0,6055.0
218,Multi-Family,0.0,0.0,1956,2052.0,7501.0
219,Single Family,1.5,3.0,1896,1449.0,7971.0
220,Single Family,0.0,0.0,2002,1536.0,38986.0
221,Single Family,2.0,4.0,2021,1719.0,10000.0
222,Single Family,2.0,3.0,2014,1734.0,5773.0
223,Single Family,1.0,0.0,1985,960.0,0.0
224,Condo,1.0,1.0,2005,1024.0,0.0
225,Single Family,3.5,4.0,2014,2164.0,1742.0
226,Single Family,2.0,3.0,1990,1649.0,181427.0
227,Single Family,1.5,3.0,1995,2467.0,181645.0
228,Single Family,3.0,5.0,2019,1086.0,6534.0
229,Single Family,3.0,3.0,2016,1776.0,1870.0
230,Single Family,1.5,3.0,1971,1319.0,12197.0
231,Manufactured,1.0,2.0,1999,672.0,0.0
232,Condo,2.0,3.0,1958,1350.0,0.0
233,Single Family,2.5,3.0,2022,1500.0,29621.0
234,Condo,2.0,3.0,2013,1185.0,436.0
235,Condo,0.0,0.0,2010,1425.0,5663.0
236,Single Family,2.0,3.0,2005,1568.0,73616.0
237,Single Family,1.0,3.0,1972,960.0,11078.0
238,Single Family,2.0,3.0,1976,1404.0,16683.0
239,Single Family,2.0,2.0,1974,1014.0,9750.0
240,Townhouse,3.5,4.0,2022,2325.0,142267.0
